timestamp,customer_no,location,day
2019-09-02 07:03:00,2,dairy,Monday
2019-09-02 07:03:00,1,dairy,Monday
2019-09-02 07:04:00,3,dairy,Monday
2019-09-02 07:04:00,8,fruit,Monday
2019-09-02 07:04:00,4,dairy,Monday
2019-09-02 07:04:00,6,spices,Monday
2019-09-02 07:04:00,5,spices,Monday
2019-09-02 07:04:00,7,spices,Monday
2019-09-02 07:05:00,1,checkout,Monday
2019-09-02 07:05:00,5,checkout,Monday
2019-09-02 07:05:00,6,dairy,Monday
2019-09-02 07:05:00,7,drinks,Monday
2019-09-02 07:06:00,14,fruit,Monday
2019-09-02 07:06:00,13,dairy,Monday
2019-09-02 07:06:00,12,spices,Monday
2019-09-02 07:06:00,10,fruit,Monday
2019-09-02 07:06:00,9,dairy,Monday
2019-09-02 07:06:00,3,checkout,Monday
2019-09-02 07:06:00,2,checkout,Monday
2019-09-02 07:06:00,11,drinks,Monday
2019-09-02 07:07:00,8,checkout,Monday
2019-09-02 07:07:00,12,drinks,Monday
2019-09-02 07:07:00,15,spices,Monday
2019-09-02 07:07:00,16,dairy,Monday
2019-09-02 07:08:00,15,fruit,Monday
2019-09-02 07:08:00,4,checkout,Monday
2019-09-02 07:08:00,10,checkout,Monday
2019-09-02 07:08:00,11,checkout,Monday
2019-09-02 07:09:00,7,spices,Monday
2019-09-02 07:09:00,14,checkout,Monday
2019-09-02 07:09:00,16,spices,Monday
2019-09-02 07:10:00,12,checkout,Monday
2019-09-02 07:11:00,7,fruit,Monday
2019-09-02 07:11:00,16,checkout,Monday
2019-09-02 07:11:00,17,fruit,Monday
2019-09-02 07:12:00,9,fruit,Monday
2019-09-02 07:12:00,15,checkout,Monday
2019-09-02 07:12:00,18,fruit,Monday
2019-09-02 07:12:00,19,spices,Monday
2019-09-02 07:12:00,20,drinks,Monday
2019-09-02 07:13:00,21,drinks,Monday
2019-09-02 07:13:00,19,drinks,Monday
2019-09-02 07:13:00,22,fruit,Monday
2019-09-02 07:13:00,9,checkout,Monday
2019-09-02 07:13:00,13,spices,Monday
2019-09-02 07:13:00,7,checkout,Monday
2019-09-02 07:14:00,13,dairy,Monday
2019-09-02 07:14:00,18,dairy,Monday
2019-09-02 07:14:00,20,checkout,Monday
2019-09-02 07:14:00,23,fruit,Monday
2019-09-02 07:14:00,24,drinks,Monday
2019-09-02 07:15:00,13,fruit,Monday
2019-09-02 07:15:00,21,spices,Monday
2019-09-02 07:15:00,22,dairy,Monday
2019-09-02 07:15:00,23,checkout,Monday
2019-09-02 07:16:00,29,drinks,Monday
2019-09-02 07:16:00,28,drinks,Monday
2019-09-02 07:16:00,27,spices,Monday
2019-09-02 07:16:00,21,checkout,Monday
2019-09-02 07:16:00,25,spices,Monday
2019-09-02 07:16:00,13,checkout,Monday
2019-09-02 07:16:00,26,fruit,Monday
